instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_new,weekday_new,weathersit_new,temp_cat,hr_cat
3748,2011-06-10,2,0,6,1,0,5,1,3,29,33,65,15,5,18,23,Summer,Friday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",Warm,Night
3749,2011-06-10,2,0,6,2,0,5,1,1,28,32,69,11,6,7,13,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Night
3750,2011-06-10,2,0,6,3,0,5,1,1,28,32,69,11,3,3,6,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Night
3751,2011-06-10,2,0,6,4,0,5,1,1,27,30,78,11,0,4,4,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Night
3752,2011-06-10,2,0,6,5,0,5,1,1,27,30,78,11,0,28,28,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Morning
3753,2011-06-10,2,0,6,6,0,5,1,1,27,30,78,6,10,94,104,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Morning
3754,2011-06-10,2,0,6,7,0,5,1,1,30,34,66,7,25,242,267,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Morning
3755,2011-06-10,2,0,6,8,0,5,1,1,30,34,58,9,29,423,452,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Morning
3756,2011-06-10,2,0,6,9,0,5,1,1,31,35,55,0,37,176,213,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot,Morning
3757,2011-06-10,2,0,6,10,0,5,1,1,32,36,52,0,23,88,111,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot,Morning
3758,2011-06-10,2,0,6,11,0,5,1,1,34,38,46,0,46,107,153,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot,Morning
3759,2011-06-10,2,0,6,12,0,5,1,1,34,38,44,9,40,167,207,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot,Noon
3760,2011-06-10,2,0,6,13,0,5,1,1,34,38,44,7,40,149,189,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot,Noon
3761,2011-06-10,2,0,6,14,0,5,1,1,35,39,39,0,44,121,165,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot,Noon
3762,2011-06-10,2,0,6,15,0,5,1,1,34,38,44,7,49,163,212,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot,Noon
3763,2011-06-10,2,0,6,16,0,5,1,1,34,39,56,20,46,239,285,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot,Afternoon
3764,2011-06-10,2,0,6,17,0,5,1,1,34,39,52,15,63,454,517,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot,Afternoon
3765,2011-06-10,2,0,6,18,0,5,1,1,33,39,59,15,96,367,463,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot,Afternoon
3766,2011-06-10,2,0,6,19,0,5,1,1,32,37,59,13,61,245,306,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot,Evening
3767,2011-06-10,2,0,6,20,0,5,1,1,31,36,62,7,53,197,250,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot,Evening
3768,2011-06-10,2,0,6,21,0,5,1,1,31,36,66,9,55,163,218,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot,Evening
3769,2011-06-10,2,0,6,22,0,5,1,1,30,35,74,17,40,145,185,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Evening
3770,2011-06-10,2,0,6,23,0,5,1,1,30,35,74,11,36,110,146,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Night
3771,2011-06-11,2,0,6,0,0,6,0,1,29,33,79,9,28,89,117,Summer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Night
3772,2011-06-11,2,0,6,1,0,6,0,1,29,33,79,6,10,67,77,Summer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Night
3773,2011-06-11,2,0,6,2,0,6,0,1,29,33,79,7,10,50,60,Summer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Night
3774,2011-06-11,2,0,6,3,0,6,0,1,28,32,83,6,10,18,28,Summer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Night
3775,2011-06-11,2,0,6,4,0,6,0,1,28,32,79,6,4,9,13,Summer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Night
3776,2011-06-11,2,0,6,5,0,6,0,1,28,32,74,9,4,12,16,Summer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Morning
3777,2011-06-11,2,0,6,6,0,6,0,1,29,33,61,9,9,31,40,Summer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Morning
3778,2011-06-11,2,0,6,7,0,6,0,1,30,33,58,13,18,50,68,Summer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Morning
3779,2011-06-11,2,0,6,8,0,6,0,1,30,34,58,13,32,111,143,Summer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Morning
3780,2011-06-11,2,0,6,9,0,6,0,1,30,34,62,9,59,171,230,Summer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Morning
3781,2011-06-11,2,0,6,10,0,6,0,1,30,34,58,11,91,173,264,Summer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Morning
3782,2011-06-11,2,0,6,11,0,6,0,1,31,36,62,9,110,215,325,Summer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot,Morning
3783,2011-06-11,2,0,6,12,0,6,0,1,33,38,55,15,112,235,347,Summer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot,Noon
3784,2011-06-11,2,0,6,13,0,6,0,1,33,38,55,13,150,237,387,Summer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot,Noon
3785,2011-06-11,2,0,6,14,0,6,0,1,34,39,49,7,148,232,380,Summer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot,Noon
3786,2011-06-11,2,0,6,15,0,6,0,1,34,39,49,7,142,232,374,Summer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot,Noon
3787,2011-06-11,2,0,6,16,0,6,0,2,33,36,46,13,169,225,394,Summer,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Hot,Afternoon
3788,2011-06-11,2,0,6,17,0,6,0,2,30,34,58,11,147,190,337,Summer,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm,Afternoon
3789,2011-06-11,2,0,6,18,0,6,0,2,30,34,62,9,131,155,286,Summer,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm,Afternoon
3790,2011-06-11,2,0,6,19,0,6,0,1,29,33,65,13,97,167,264,Summer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Evening
3791,2011-06-11,2,0,6,20,0,6,0,1,28,32,74,17,95,180,275,Summer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Evening
3792,2011-06-11,2,0,6,21,0,6,0,1,27,31,74,15,76,144,220,Summer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Evening
3793,2011-06-11,2,0,6,22,0,6,0,1,27,30,78,15,53,137,190,Summer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Evening
3794,2011-06-11,2,0,6,23,0,6,0,1,27,31,74,7,24,107,131,Summer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Night
3795,2011-06-12,2,0,6,0,0,0,0,1,27,30,78,15,19,100,119,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Night
3796,2011-06-12,2,0,6,1,0,0,0,1,26,29,83,7,19,74,93,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Night
3797,2011-06-12,2,0,6,2,0,0,0,1,26,29,89,17,9,57,66,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Night
3798,2011-06-12,2,0,6,3,0,0,0,1,26,29,89,19,8,20,28,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Night
3799,2011-06-12,2,0,6,4,0,0,0,1,25,28,88,11,8,6,14,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Night
3800,2011-06-12,2,0,6,5,0,0,0,1,25,28,88,15,5,5,10,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Morning
3801,2011-06-12,2,0,6,6,0,0,0,1,25,28,88,7,5,9,14,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Morning
3802,2011-06-12,2,0,6,7,0,0,0,1,26,30,78,7,7,27,34,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Morning
3803,2011-06-12,2,0,6,8,0,0,0,1,29,33,74,0,28,64,92,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Morning
3804,2011-06-12,2,0,6,9,0,0,0,1,30,34,66,0,75,107,182,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Morning
3805,2011-06-12,2,0,6,10,0,0,0,1,31,36,58,6,120,191,311,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot,Morning
3806,2011-06-12,2,0,6,11,0,0,0,1,32,36,55,7,131,236,367,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot,Morning
3807,2011-06-12,2,0,6,12,0,0,0,1,34,38,46,0,176,244,420,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot,Noon
3808,2011-06-12,2,0,6,13,0,0,0,1,32,37,59,19,109,264,373,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot,Noon
3809,2011-06-12,2,0,6,14,0,0,0,1,34,39,56,17,96,219,315,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot,Noon
3810,2011-06-12,2,0,6,15,0,0,0,1,33,39,59,20,142,218,360,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot,Noon
3811,2011-06-12,2,0,6,16,0,0,0,3,28,32,83,19,115,235,350,Summer,Sunday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",Warm,Afternoon
3812,2011-06-12,2,0,6,17,0,0,0,3,28,32,83,19,94,158,252,Summer,Sunday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",Warm,Afternoon
3813,2011-06-12,2,0,6,18,0,0,0,1,29,33,74,11,69,187,256,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Afternoon
3814,2011-06-12,2,0,6,19,0,0,0,1,29,33,74,7,67,156,223,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Evening
3815,2011-06-12,2,0,6,20,0,0,0,1,27,30,83,11,62,144,206,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Evening
3816,2011-06-12,2,0,6,21,0,0,0,1,27,30,83,7,39,101,140,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Evening
3817,2011-06-12,2,0,6,22,0,0,0,1,26,29,83,9,31,97,128,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Evening
3818,2011-06-12,2,0,6,23,0,0,0,1,26,30,78,13,33,74,107,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Night
3819,2011-06-13,2,0,6,0,0,1,1,1,26,30,78,9,8,20,28,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Night
3820,2011-06-13,2,0,6,1,0,1,1,1,26,30,73,15,6,10,16,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Night
3821,2011-06-13,2,0,6,2,0,1,1,1,25,30,73,19,2,8,10,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Night
3822,2011-06-13,2,0,6,3,0,1,1,1,25,30,60,33,1,6,7,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Night
3823,2011-06-13,2,0,6,4,0,1,1,1,23,27,64,20,1,3,4,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Night
3824,2011-06-13,2,0,6,5,0,1,1,1,22,26,64,26,2,27,29,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Morning
3825,2011-06-13,2,0,6,6,0,1,1,1,22,26,64,28,7,98,105,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Morning
3826,2011-06-13,2,0,6,7,0,1,1,1,23,27,56,24,26,302,328,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Morning
3827,2011-06-13,2,0,6,8,0,1,1,1,24,27,49,30,44,432,476,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Morning
3828,2011-06-13,2,0,6,9,0,1,1,1,25,31,46,24,35,189,224,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Morning
3829,2011-06-13,2,0,6,10,0,1,1,1,26,31,41,22,38,80,118,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Morning
3830,2011-06-13,2,0,6,11,0,1,1,1,27,31,41,20,53,106,159,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Morning
3831,2011-06-13,2,0,6,12,0,1,1,1,27,31,41,19,35,161,196,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Noon
3832,2011-06-13,2,0,6,13,0,1,1,1,29,32,37,0,53,174,227,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Noon
3833,2011-06-13,2,0,6,14,0,1,1,1,29,32,34,17,55,145,200,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Noon
3834,2011-06-13,2,0,6,15,0,1,1,1,29,32,37,30,58,127,185,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Noon
3835,2011-06-13,2,0,6,16,0,1,1,1,29,32,37,28,64,262,326,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Afternoon
3836,2011-06-13,2,0,6,17,0,1,1,1,29,32,39,22,72,529,601,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Afternoon
3837,2011-06-13,2,0,6,18,0,1,1,1,29,32,37,24,76,510,586,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Afternoon
3838,2011-06-13,2,0,6,19,0,1,1,1,27,31,39,19,75,348,423,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Evening
3839,2011-06-13,2,0,6,20,0,1,1,1,26,31,44,17,78,253,331,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Evening
3840,2011-06-13,2,0,6,21,0,1,1,1,26,31,41,17,40,178,218,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Evening
3841,2011-06-13,2,0,6,22,0,1,1,1,25,31,46,15,20,114,134,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Evening
3842,2011-06-13,2,0,6,23,0,1,1,1,25,31,46,13,14,75,89,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Night
3843,2011-06-14,2,0,6,0,0,2,1,1,25,31,49,13,13,18,31,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Night
3844,2011-06-14,2,0,6,1,0,2,1,1,25,31,49,17,3,10,13,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Night
3845,2011-06-14,2,0,6,2,0,2,1,1,25,31,49,19,2,8,10,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Night
3846,2011-06-14,2,0,6,3,0,2,1,1,24,27,53,22,1,1,2,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Night
3847,2011-06-14,2,0,6,4,0,2,1,1,22,26,60,17,0,3,3,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Night
3848,2011-06-14,2,0,6,5,0,2,1,1,22,26,56,22,3,23,26,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Morning
3849,2011-06-14,2,0,6,6,0,2,1,1,22,26,56,20,6,107,113,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Morning
3850,2011-06-14,2,0,6,7,0,2,1,1,23,27,52,28,19,346,365,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Morning
3851,2011-06-14,2,0,6,8,0,2,1,1,24,27,49,26,45,441,486,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Morning
3852,2011-06-14,2,0,6,9,0,2,1,1,25,31,46,13,19,174,193,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Morning
3853,2011-06-14,2,0,6,10,0,2,1,1,25,31,46,15,33,97,130,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Morning
3854,2011-06-14,2,0,6,11,0,2,1,1,26,31,41,19,40,103,143,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Morning
3855,2011-06-14,2,0,6,12,0,2,1,1,26,31,41,24,30,139,169,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Noon
3856,2011-06-14,2,0,6,13,0,2,1,1,26,31,44,15,33,176,209,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Noon
3857,2011-06-14,2,0,6,14,0,2,1,2,26,31,47,13,41,118,159,Summer,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm,Noon
3858,2011-06-14,2,0,6,15,0,2,1,1,26,31,47,11,42,136,178,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Noon
3859,2011-06-14,2,0,6,16,0,2,1,1,28,32,41,13,51,279,330,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Afternoon
3860,2011-06-14,2,0,6,17,0,2,1,3,26,31,50,19,85,484,569,Summer,Tuesday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",Warm,Afternoon
3861,2011-06-14,2,0,6,18,0,2,1,1,25,31,51,22,65,473,538,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Afternoon
3862,2011-06-14,2,0,6,19,0,2,1,1,26,31,50,24,51,335,386,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Evening
3863,2011-06-14,2,0,6,20,0,2,1,1,25,31,56,11,60,237,297,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Evening
3864,2011-06-14,2,0,6,21,0,2,1,1,25,31,56,20,37,206,243,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Evening
3865,2011-06-14,2,0,6,22,0,2,1,1,24,27,60,15,29,159,188,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Evening
3866,2011-06-14,2,0,6,23,0,2,1,1,23,27,68,15,19,91,110,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Night
3867,2011-06-15,2,0,6,0,0,3,1,1,23,27,64,24,8,44,52,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Night
3868,2011-06-15,2,0,6,1,0,3,1,1,22,26,64,19,0,14,14,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Night
3869,2011-06-15,2,0,6,2,0,3,1,1,21,25,63,15,0,9,9,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Night
3870,2011-06-15,2,0,6,3,0,3,1,1,20,24,68,17,0,1,1,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool,Night
3871,2011-06-15,2,0,6,4,0,3,1,1,20,24,63,19,0,4,4,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool,Night
3872,2011-06-15,2,0,6,5,0,3,1,1,20,23,67,19,1,20,21,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool,Morning
3873,2011-06-15,2,0,6,6,0,3,1,1,20,24,63,17,11,110,121,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool,Morning
3874,2011-06-15,2,0,6,7,0,3,1,1,22,26,60,9,22,348,370,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Morning
3875,2011-06-15,2,0,6,8,0,3,1,1,24,27,53,9,53,445,498,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Morning
3876,2011-06-15,2,0,6,9,0,3,1,1,25,31,49,0,22,185,207,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Morning
3877,2011-06-15,2,0,6,10,0,3,1,1,26,31,47,11,27,108,135,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Morning
3878,2011-06-15,2,0,6,11,0,3,1,1,28,32,36,0,49,115,164,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Morning
3879,2011-06-15,2,0,6,12,0,3,1,1,29,32,34,15,33,178,211,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Noon
3880,2011-06-15,2,0,6,13,0,3,1,1,30,33,28,19,43,146,189,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Noon
3881,2011-06-15,2,0,6,14,0,3,1,1,30,33,28,0,50,128,178,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Noon
3882,2011-06-15,2,0,6,15,0,3,1,1,31,33,27,0,33,131,164,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot,Noon
3883,2011-06-15,2,0,6,16,0,3,1,1,31,33,27,9,47,265,312,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot,Afternoon
3884,2011-06-15,2,0,6,17,0,3,1,1,30,33,28,7,83,555,638,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Afternoon
3885,2011-06-15,2,0,6,18,0,3,1,1,30,33,32,9,80,527,607,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Afternoon
3886,2011-06-15,2,0,6,19,0,3,1,1,29,32,37,19,54,362,416,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Evening
3887,2011-06-15,2,0,6,20,0,3,1,1,27,31,44,11,57,273,330,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Evening
3888,2011-06-15,2,0,6,21,0,3,1,1,26,31,47,15,48,209,257,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Evening
3889,2011-06-15,2,0,6,22,0,3,1,1,25,31,50,7,31,144,175,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Evening
3890,2011-06-15,2,0,6,23,0,3,1,1,25,31,53,0,17,90,107,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Night
3891,2011-06-16,2,0,6,0,0,4,1,1,25,31,56,7,9,38,47,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Night
3892,2011-06-16,2,0,6,1,0,4,1,1,24,27,60,0,4,13,17,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Night
3893,2011-06-16,2,0,6,2,0,4,1,1,25,31,56,6,1,4,5,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Night
3894,2011-06-16,2,0,6,3,0,4,1,2,23,27,73,6,0,4,4,Summer,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm,Night
3895,2011-06-16,2,0,6,4,0,4,1,2,23,27,68,7,0,6,6,Summer,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm,Night
3896,2011-06-16,2,0,6,5,0,4,1,1,25,30,64,13,7,18,25,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Morning
3897,2011-06-16,2,0,6,6,0,4,1,3,24,27,73,11,8,104,112,Summer,Thursday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",Warm,Morning
3898,2011-06-16,2,0,6,7,0,4,1,3,23,27,78,11,16,172,188,Summer,Thursday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",Warm,Morning
3899,2011-06-16,2,0,6,8,0,4,1,2,25,30,69,9,24,364,388,Summer,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm,Morning
3900,2011-06-16,2,0,6,9,0,4,1,2,25,30,65,13,29,232,261,Summer,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm,Morning
3901,2011-06-16,2,0,6,10,0,4,1,2,27,31,61,17,18,103,121,Summer,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm,Morning
3902,2011-06-16,2,0,6,11,0,4,1,2,28,32,61,20,33,117,150,Summer,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm,Morning
3903,2011-06-16,2,0,6,12,0,4,1,1,30,33,54,26,41,165,206,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Noon
3904,2011-06-16,2,0,6,13,0,4,1,2,30,33,54,17,37,114,151,Summer,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm,Noon
3905,2011-06-16,2,0,6,14,0,4,1,2,30,33,54,22,39,114,153,Summer,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm,Noon
3906,2011-06-16,2,0,6,15,0,4,1,2,29,33,61,20,32,127,159,Summer,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm,Noon
3907,2011-06-16,2,0,6,16,0,4,1,3,27,31,69,13,36,258,294,Summer,Thursday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",Warm,Afternoon
3908,2011-06-16,2,0,6,17,0,4,1,2,26,30,78,7,42,230,272,Summer,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm,Afternoon
3909,2011-06-16,2,0,6,18,0,4,1,1,26,29,83,15,26,299,325,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm,Afternoon
