instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_new,weekday_new,weathersit_new,temp_cat
168,2011-06-17,2,0,6,0,5,1,1,27,30,74,10,863,3981,4844,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
169,2011-06-18,2,0,6,0,6,0,1,29,32,67,8,1807,3312,5119,Summer,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
170,2011-06-19,2,0,6,0,0,0,2,29,32,67,7,1639,3105,4744,Summer,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
171,2011-06-20,2,0,6,0,1,1,2,26,30,75,10,699,3311,4010,Summer,Monday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
172,2011-06-21,3,0,6,0,2,1,2,28,32,77,11,774,4061,4835,Autumn,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
173,2011-06-22,3,0,6,0,3,1,1,30,35,71,12,661,3846,4507,Autumn,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
174,2011-06-23,3,0,6,0,4,1,2,30,35,70,16,746,4044,4790,Autumn,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
175,2011-06-24,3,0,6,0,5,1,1,30,33,57,15,969,4022,4991,Autumn,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
176,2011-06-25,3,0,6,0,6,0,1,28,32,48,14,1782,3420,5202,Autumn,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
177,2011-06-26,3,0,6,0,0,0,1,28,32,51,6,1920,3385,5305,Autumn,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
178,2011-06-27,3,0,6,0,1,1,2,28,32,66,7,854,3854,4708,Autumn,Monday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
179,2011-06-28,3,0,6,0,2,1,1,31,35,63,10,732,3916,4648,Autumn,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot
180,2011-06-29,3,0,6,0,3,1,1,30,33,50,18,848,4377,5225,Autumn,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
181,2011-06-30,3,0,6,0,4,1,1,29,32,43,12,1027,4488,5515,Autumn,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
182,2011-07-01,3,0,7,0,5,1,1,30,33,40,7,1246,4116,5362,Autumn,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
183,2011-07-02,3,0,7,0,6,0,1,30,33,44,8,2204,2915,5119,Autumn,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
184,2011-07-03,3,0,7,0,0,0,2,29,33,68,15,2282,2367,4649,Autumn,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
185,2011-07-04,3,0,7,1,1,0,2,30,33,64,5,3065,2978,6043,Autumn,Monday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
186,2011-07-05,3,0,7,0,2,1,1,31,35,59,8,1031,3634,4665,Autumn,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot
187,2011-07-06,3,0,7,0,3,1,1,30,34,74,10,784,3845,4629,Autumn,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
188,2011-07-07,3,0,7,0,4,1,1,31,34,65,11,754,3838,4592,Autumn,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot
189,2011-07-08,3,0,7,0,5,1,2,29,34,76,15,692,3348,4040,Autumn,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
190,2011-07-09,3,0,7,0,6,0,1,30,33,61,11,1988,3348,5336,Autumn,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
191,2011-07-10,3,0,7,0,0,0,1,31,35,58,12,1743,3138,4881,Autumn,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot
192,2011-07-11,3,0,7,0,1,1,1,31,36,64,19,723,3363,4086,Autumn,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot
193,2011-07-12,3,0,7,0,2,1,1,33,37,56,13,662,3596,4258,Autumn,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot
194,2011-07-13,3,0,7,0,3,1,1,31,34,63,10,748,3594,4342,Autumn,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot
195,2011-07-14,3,0,7,0,4,1,1,28,32,48,16,888,4196,5084,Autumn,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
196,2011-07-15,3,0,7,0,5,1,1,27,31,59,12,1318,4220,5538,Autumn,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
197,2011-07-16,3,0,7,0,6,0,1,28,32,58,14,2418,3505,5923,Autumn,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
198,2011-07-17,3,0,7,0,0,0,1,29,33,60,16,2006,3296,5302,Autumn,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
199,2011-07-18,3,0,7,0,1,1,1,31,35,65,14,841,3617,4458,Autumn,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot
200,2011-07-19,3,0,7,0,2,1,1,32,37,65,9,752,3789,4541,Autumn,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot
201,2011-07-20,3,0,7,0,3,1,1,32,37,71,8,644,3688,4332,Autumn,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot
202,2011-07-21,3,0,7,0,4,1,2,33,41,69,15,632,3152,3784,Autumn,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Hot
203,2011-07-22,3,0,7,0,5,1,1,35,42,58,9,562,2825,3387,Autumn,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot
204,2011-07-23,3,0,7,0,6,0,1,35,40,50,9,987,2298,3285,Autumn,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot
205,2011-07-24,3,0,7,0,0,0,1,34,40,55,11,1050,2556,3606,Autumn,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot
206,2011-07-25,3,0,7,0,1,1,1,30,36,76,6,568,3272,3840,Autumn,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
207,2011-07-26,3,0,7,0,2,1,1,32,35,54,13,750,3840,4590,Autumn,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot
208,2011-07-27,3,0,7,0,3,1,1,32,35,40,12,755,3901,4656,Autumn,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot
209,2011-07-28,3,0,7,0,4,1,1,32,37,58,12,606,3784,4390,Autumn,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot
210,2011-07-29,3,0,7,0,5,1,1,34,39,54,12,670,3176,3846,Autumn,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot
211,2011-07-30,3,0,7,0,6,0,1,33,36,47,11,1559,2916,4475,Autumn,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot
212,2011-07-31,3,0,7,0,0,0,1,33,36,48,11,1524,2778,4302,Autumn,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot
213,2011-08-01,3,0,8,0,1,1,1,32,35,55,11,729,3537,4266,Autumn,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot
214,2011-08-02,3,0,8,0,2,1,1,32,35,49,14,801,4044,4845,Autumn,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot
215,2011-08-03,3,0,8,0,3,1,2,30,34,66,9,467,3107,3574,Autumn,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
216,2011-08-04,3,0,8,0,4,1,2,29,33,76,13,799,3777,4576,Autumn,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
217,2011-08-05,3,0,8,0,5,1,1,29,33,63,12,1023,3843,4866,Autumn,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
218,2011-08-06,3,0,8,0,6,0,2,29,34,76,15,1521,2773,4294,Autumn,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
219,2011-08-07,3,0,8,0,0,0,1,30,36,75,13,1298,2487,3785,Autumn,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
220,2011-08-08,3,0,8,0,1,1,1,31,35,59,13,846,3480,4326,Autumn,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot
221,2011-08-09,3,0,8,0,2,1,1,32,36,57,10,907,3695,4602,Autumn,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot
222,2011-08-10,3,0,8,0,3,1,1,31,34,42,13,884,3896,4780,Autumn,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Hot
223,2011-08-11,3,0,8,0,4,1,1,29,33,42,11,812,3980,4792,Autumn,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
224,2011-08-12,3,0,8,0,5,1,1,29,33,42,8,1051,3854,4905,Autumn,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
225,2011-08-13,3,0,8,0,6,0,2,28,32,73,14,1504,2646,4150,Autumn,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
226,2011-08-14,3,0,8,0,0,0,2,28,31,82,15,1338,2482,3820,Autumn,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
227,2011-08-15,3,0,8,0,1,1,1,27,31,71,14,775,3563,4338,Autumn,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
228,2011-08-16,3,0,8,0,2,1,1,29,32,58,16,721,4004,4725,Autumn,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
229,2011-08-17,3,0,8,0,3,1,1,30,33,58,10,668,4026,4694,Autumn,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
230,2011-08-18,3,0,8,0,4,1,1,29,33,65,16,639,3166,3805,Autumn,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
231,2011-08-19,3,0,8,0,5,1,2,28,32,72,9,797,3356,4153,Autumn,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
232,2011-08-20,3,0,8,0,6,0,1,29,32,67,7,1914,3277,5191,Autumn,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
233,2011-08-21,3,0,8,0,0,0,1,29,34,77,17,1249,2624,3873,Autumn,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
234,2011-08-22,3,0,8,0,1,1,1,28,32,47,19,833,3925,4758,Autumn,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
235,2011-08-23,3,0,8,0,2,1,1,26,30,46,10,1281,4614,5895,Autumn,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
236,2011-08-24,3,0,8,0,3,1,1,28,32,60,17,949,4181,5130,Autumn,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
237,2011-08-25,3,0,8,0,4,1,2,28,32,77,14,435,3107,3542,Autumn,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
238,2011-08-26,3,0,8,0,5,1,1,29,33,76,6,768,3893,4661,Autumn,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
239,2011-08-27,3,0,8,0,6,0,2,28,32,85,25,226,889,1115,Autumn,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
240,2011-08-28,3,0,8,0,0,0,1,29,32,56,20,1415,2919,4334,Autumn,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
241,2011-08-29,3,0,8,0,1,1,1,26,30,55,11,729,3905,4634,Autumn,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
242,2011-08-30,3,0,8,0,2,1,1,26,30,55,8,775,4429,5204,Autumn,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
243,2011-08-31,3,0,8,0,3,1,1,27,31,60,6,688,4370,5058,Autumn,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
244,2011-09-01,3,0,9,0,4,1,1,27,31,64,10,783,4332,5115,Autumn,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
245,2011-09-02,3,0,9,0,5,1,2,26,30,73,9,875,3852,4727,Autumn,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
246,2011-09-03,3,0,9,0,6,0,1,27,32,72,12,1935,2549,4484,Autumn,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
247,2011-09-04,3,0,9,0,0,0,1,29,33,74,14,2521,2419,4940,Autumn,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
248,2011-09-05,3,0,9,1,1,0,2,28,31,79,14,1236,2115,3351,Autumn,Monday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
249,2011-09-06,3,0,9,0,2,1,3,22,26,89,23,204,2506,2710,Autumn,Tuesday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",Warm
250,2011-09-07,3,0,9,0,3,1,3,25,27,92,7,118,1878,1996,Autumn,Wednesday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",Warm
251,2011-09-08,3,0,9,0,4,1,3,26,28,94,13,153,1689,1842,Autumn,Thursday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",Warm
252,2011-09-09,3,0,9,0,5,1,2,27,29,90,8,417,3127,3544,Autumn,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
253,2011-09-10,3,0,9,0,6,0,1,27,30,75,10,1750,3595,5345,Autumn,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
254,2011-09-11,3,0,9,0,0,0,1,27,30,71,8,1633,3413,5046,Autumn,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
255,2011-09-12,3,0,9,0,1,1,1,26,30,69,6,690,4023,4713,Autumn,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
256,2011-09-13,3,0,9,0,2,1,1,27,30,71,10,701,4062,4763,Autumn,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
257,2011-09-14,3,0,9,0,3,1,1,28,31,70,11,647,4138,4785,Autumn,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
258,2011-09-15,3,0,9,0,4,1,2,24,28,71,18,428,3231,3659,Autumn,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
259,2011-09-16,3,0,9,0,5,1,2,19,23,59,11,742,4018,4760,Autumn,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
260,2011-09-17,3,0,9,0,6,0,2,20,24,72,13,1434,3077,4511,Autumn,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
261,2011-09-18,3,0,9,0,0,0,1,21,25,70,12,1353,2921,4274,Autumn,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
262,2011-09-19,3,0,9,0,1,1,2,23,26,69,10,691,3848,4539,Autumn,Monday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
263,2011-09-20,3,0,9,0,2,1,2,23,27,88,9,438,3203,3641,Autumn,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
264,2011-09-21,3,0,9,0,3,1,2,24,28,90,6,539,3813,4352,Autumn,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
265,2011-09-22,3,0,9,0,4,1,2,26,28,90,9,555,4240,4795,Autumn,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
266,2011-09-23,4,0,9,0,5,1,2,25,26,97,5,258,2137,2395,Winter,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
267,2011-09-24,4,0,9,0,6,0,2,25,28,86,5,1776,3647,5423,Winter,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
268,2011-09-25,4,0,9,0,0,0,2,26,29,84,3,1544,3466,5010,Winter,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
269,2011-09-26,4,0,9,0,1,1,2,27,29,85,7,684,3946,4630,Winter,Monday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
270,2011-09-27,4,0,9,0,2,1,2,26,29,89,8,477,3643,4120,Winter,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
271,2011-09-28,4,0,9,0,3,1,2,26,29,85,10,480,3427,3907,Winter,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
272,2011-09-29,4,0,9,0,4,1,1,25,29,70,12,653,4186,4839,Winter,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
273,2011-09-30,4,0,9,0,5,1,1,23,27,65,14,830,4372,5202,Winter,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
274,2011-10-01,4,0,10,0,6,0,2,17,21,75,20,480,1949,2429,Winter,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
275,2011-10-02,4,0,10,0,0,0,2,15,17,79,15,616,2302,2918,Winter,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
276,2011-10-03,4,0,10,0,1,1,2,16,20,76,6,330,3240,3570,Winter,Monday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
277,2011-10-04,4,0,10,0,2,1,1,20,24,71,14,486,3970,4456,Winter,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
278,2011-10-05,4,0,10,0,3,1,1,22,26,65,12,559,4267,4826,Winter,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
279,2011-10-06,4,0,10,0,4,1,1,20,24,62,9,639,4126,4765,Winter,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
280,2011-10-07,4,0,10,0,5,1,1,21,25,68,2,949,4036,4985,Winter,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
281,2011-10-08,4,0,10,0,6,0,1,21,26,70,3,2235,3174,5409,Winter,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
282,2011-10-09,4,0,10,0,0,0,1,22,26,73,4,2397,3114,5511,Winter,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
283,2011-10-10,4,0,10,1,1,0,1,23,27,73,3,1514,3603,5117,Winter,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
284,2011-10-11,4,0,10,0,2,1,2,23,27,81,10,667,3896,4563,Winter,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
285,2011-10-12,4,0,10,0,3,1,3,22,26,91,17,217,2199,2416,Winter,Wednesday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",Warm
286,2011-10-13,4,0,10,0,4,1,2,24,28,90,9,290,2623,2913,Winter,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
287,2011-10-14,4,0,10,0,5,1,2,23,26,72,15,529,3115,3644,Winter,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
288,2011-10-15,4,0,10,0,6,0,1,21,25,48,17,1899,3318,5217,Winter,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
289,2011-10-16,4,0,10,0,0,0,1,21,25,49,19,1748,3293,5041,Winter,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
290,2011-10-17,4,0,10,0,1,1,1,22,26,58,12,713,3857,4570,Winter,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
291,2011-10-18,4,0,10,0,2,1,2,22,26,70,7,637,4111,4748,Winter,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
292,2011-10-19,4,0,10,0,3,1,3,22,26,90,16,254,2170,2424,Winter,Wednesday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",Warm
293,2011-10-20,4,0,10,0,4,1,1,20,23,64,28,471,3724,4195,Winter,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
294,2011-10-21,4,0,10,0,5,1,1,18,21,57,15,676,3628,4304,Winter,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
295,2011-10-22,4,0,10,0,6,0,1,17,21,63,6,1499,2809,4308,Winter,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
296,2011-10-23,4,0,10,0,0,0,1,17,21,74,7,1619,2762,4381,Winter,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
297,2011-10-24,4,0,10,0,1,1,1,19,23,77,8,699,3488,4187,Winter,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
298,2011-10-25,4,0,10,0,2,1,1,19,23,62,11,695,3992,4687,Winter,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
299,2011-10-26,4,0,10,0,3,1,2,20,24,72,10,404,3490,3894,Winter,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
300,2011-10-27,4,0,10,0,4,1,2,19,23,81,13,240,2419,2659,Winter,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
301,2011-10-28,4,0,10,0,5,1,2,14,16,59,15,456,3291,3747,Winter,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
302,2011-10-29,4,0,10,0,6,0,3,10,11,88,24,57,570,627,Winter,Saturday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",Cold
303,2011-10-30,4,0,10,0,0,0,1,13,16,62,12,885,2446,3331,Winter,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
304,2011-10-31,4,0,10,0,1,1,1,14,18,70,7,362,3307,3669,Winter,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
305,2011-11-01,4,0,11,0,2,1,1,16,20,68,9,410,3658,4068,Winter,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
306,2011-11-02,4,0,11,0,3,1,1,15,20,72,6,370,3816,4186,Winter,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
307,2011-11-03,4,0,11,0,4,1,1,17,20,70,9,318,3656,3974,Winter,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
308,2011-11-04,4,0,11,0,5,1,2,17,20,62,18,470,3576,4046,Winter,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
309,2011-11-05,4,0,11,0,6,0,1,13,16,52,13,1156,2770,3926,Winter,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
310,2011-11-06,4,0,11,0,0,0,1,14,18,73,6,952,2697,3649,Winter,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
311,2011-11-07,4,0,11,0,1,1,1,16,20,76,4,373,3662,4035,Winter,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
312,2011-11-08,4,0,11,0,2,1,1,17,21,72,5,376,3829,4205,Winter,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
313,2011-11-09,4,0,11,0,3,1,1,16,20,76,4,305,3804,4109,Winter,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
314,2011-11-10,4,0,11,0,4,1,2,16,19,81,13,190,2743,2933,Winter,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
315,2011-11-11,4,0,11,1,5,0,1,13,15,45,21,440,2928,3368,Winter,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
316,2011-11-12,4,0,11,0,6,0,1,15,18,55,14,1275,2792,4067,Winter,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
317,2011-11-13,4,0,11,0,0,0,1,18,22,46,19,1004,2713,3717,Winter,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
318,2011-11-14,4,0,11,0,1,1,1,22,26,59,21,595,3891,4486,Winter,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
319,2011-11-15,4,0,11,0,2,1,2,22,25,69,13,449,3746,4195,Winter,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Warm
320,2011-11-16,4,0,11,0,3,1,3,19,23,93,9,145,1672,1817,Winter,Wednesday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",Cool
321,2011-11-17,4,0,11,0,4,1,2,14,16,58,20,139,2914,3053,Winter,Thursday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
322,2011-11-18,4,0,11,0,5,1,1,11,14,41,11,245,3147,3392,Winter,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
323,2011-11-19,4,0,11,0,6,0,1,13,16,50,15,943,2720,3663,Winter,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
324,2011-11-20,4,0,11,0,0,0,2,19,23,68,12,787,2733,3520,Winter,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
325,2011-11-21,4,0,11,0,1,1,3,18,22,91,9,220,2545,2765,Winter,Monday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",Cool
326,2011-11-22,4,0,11,0,2,1,3,17,21,96,8,69,1538,1607,Winter,Tuesday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",Cool
327,2011-11-23,4,0,11,0,3,1,2,18,22,76,23,112,2454,2566,Winter,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
328,2011-11-24,4,0,11,1,4,0,1,15,19,55,11,560,935,1495,Winter,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
329,2011-11-25,4,0,11,0,5,1,1,15,19,64,7,1095,1697,2792,Winter,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
330,2011-11-26,4,0,11,0,6,0,1,15,19,68,5,1249,1819,3068,Winter,Saturday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
331,2011-11-27,4,0,11,0,0,0,1,19,23,70,14,810,2261,3071,Winter,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Cool
332,2011-11-28,4,0,11,0,1,1,1,21,25,74,10,253,3614,3867,Winter,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy",Warm
333,2011-11-29,4,0,11,0,2,1,2,19,23,83,17,96,2818,2914,Winter,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",Cool
