instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_new,weekday_new,weathersit_new
2347,2011-04-12,2,0,4,16,0,2,1,2,20,23,77,26,19,80,99,Summer,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2348,2011-04-12,2,0,4,17,0,2,1,3,18,22,77,15,29,262,291,Summer,Tuesday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
2349,2011-04-12,2,0,4,18,0,2,1,3,18,22,77,15,21,203,224,Summer,Tuesday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
2350,2011-04-12,2,0,4,19,0,2,1,2,17,21,82,19,3,127,130,Summer,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2351,2011-04-12,2,0,4,20,0,2,1,2,17,21,82,19,9,94,103,Summer,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2352,2011-04-12,2,0,4,21,0,2,1,2,17,21,82,13,10,74,84,Summer,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2353,2011-04-12,2,0,4,22,0,2,1,2,16,20,94,20,7,47,54,Summer,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2354,2011-04-12,2,0,4,23,0,2,1,2,16,20,94,17,8,31,39,Summer,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2355,2011-04-13,2,0,4,0,0,3,1,2,16,20,100,20,3,12,15,Summer,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2356,2011-04-13,2,0,4,1,0,3,1,2,16,20,100,20,0,1,1,Summer,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2357,2011-04-13,2,0,4,2,0,3,1,3,16,20,100,20,0,2,2,Summer,Wednesday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
2358,2011-04-13,2,0,4,3,0,3,1,3,16,20,94,22,0,2,2,Summer,Wednesday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
2359,2011-04-13,2,0,4,4,0,3,1,3,16,20,94,22,1,2,3,Summer,Wednesday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
2360,2011-04-13,2,0,4,5,0,3,1,3,16,20,94,17,1,4,5,Summer,Wednesday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
2361,2011-04-13,2,0,4,6,0,3,1,3,16,20,94,15,1,33,34,Summer,Wednesday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
2362,2011-04-13,2,0,4,7,0,3,1,3,15,17,100,15,3,67,70,Summer,Wednesday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
2363,2011-04-13,2,0,4,8,0,3,1,3,16,20,94,13,6,158,164,Summer,Wednesday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
2364,2011-04-13,2,0,4,9,0,3,1,2,16,20,94,15,2,63,65,Summer,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2365,2011-04-13,2,0,4,10,0,3,1,2,16,20,87,13,4,42,46,Summer,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2366,2011-04-13,2,0,4,11,0,3,1,2,17,21,82,13,4,57,61,Summer,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2367,2011-04-13,2,0,4,12,0,3,1,3,17,21,82,17,12,83,95,Summer,Wednesday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
2368,2011-04-13,2,0,4,13,0,3,1,2,18,22,77,13,6,55,61,Summer,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2369,2011-04-13,2,0,4,14,0,3,1,2,17,21,77,17,24,82,106,Summer,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2370,2011-04-13,2,0,4,15,0,3,1,2,18,22,72,19,12,69,81,Summer,Wednesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2371,2011-04-13,2,0,4,16,0,3,1,1,19,23,67,19,23,119,142,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2372,2011-04-13,2,0,4,17,0,3,1,1,19,23,67,20,25,284,309,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2373,2011-04-13,2,0,4,18,0,3,1,1,18,22,62,26,28,293,321,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2374,2011-04-13,2,0,4,19,0,3,1,1,18,22,62,17,15,160,175,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2375,2011-04-13,2,0,4,20,0,3,1,1,18,22,62,17,7,119,126,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2376,2011-04-13,2,0,4,21,0,3,1,1,17,21,67,11,17,100,117,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2377,2011-04-13,2,0,4,22,0,3,1,1,17,21,67,13,10,89,99,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2378,2011-04-13,2,0,4,23,0,3,1,1,16,20,71,9,5,57,62,Summer,Wednesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2379,2011-04-14,2,0,4,0,0,4,1,1,16,20,76,9,3,18,21,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2380,2011-04-14,2,0,4,1,0,4,1,1,16,20,76,15,1,9,10,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2381,2011-04-14,2,0,4,2,0,4,1,1,15,17,76,9,0,3,3,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2382,2011-04-14,2,0,4,3,0,4,1,1,14,17,81,9,0,2,2,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2383,2011-04-14,2,0,4,4,0,4,1,1,14,18,76,0,1,8,9,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2384,2011-04-14,2,0,4,5,0,4,1,1,14,17,76,6,2,12,14,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2385,2011-04-14,2,0,4,6,0,4,1,1,14,17,76,7,4,66,70,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2386,2011-04-14,2,0,4,7,0,4,1,1,16,20,66,0,11,182,193,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2387,2011-04-14,2,0,4,8,0,4,1,1,17,21,58,11,21,316,337,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2388,2011-04-14,2,0,4,9,0,4,1,1,19,23,51,9,18,152,170,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2389,2011-04-14,2,0,4,10,0,4,1,1,20,24,51,13,21,68,89,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2390,2011-04-14,2,0,4,11,0,4,1,1,21,25,45,11,28,87,115,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2391,2011-04-14,2,0,4,12,0,4,1,1,22,26,42,9,35,110,145,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2392,2011-04-14,2,0,4,13,0,4,1,1,23,27,37,15,38,121,159,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2393,2011-04-14,2,0,4,14,0,4,1,1,23,27,35,6,36,101,137,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2394,2011-04-14,2,0,4,15,0,4,1,1,25,31,31,6,57,85,142,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2395,2011-04-14,2,0,4,16,0,4,1,1,25,30,26,7,49,153,202,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2396,2011-04-14,2,0,4,17,0,4,1,1,25,30,28,0,50,338,388,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2397,2011-04-14,2,0,4,18,0,4,1,1,23,27,30,0,47,290,337,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2398,2011-04-14,2,0,4,19,0,4,1,1,22,26,32,0,37,222,259,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2399,2011-04-14,2,0,4,20,0,4,1,1,20,24,51,13,22,147,169,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2400,2011-04-14,2,0,4,21,0,4,1,1,19,23,63,9,19,126,145,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2401,2011-04-14,2,0,4,22,0,4,1,1,20,23,55,7,22,82,104,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2402,2011-04-14,2,0,4,23,0,4,1,1,19,23,59,7,7,40,47,Summer,Thursday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2403,2011-04-15,2,0,4,0,1,5,0,1,18,22,67,0,6,21,27,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2404,2011-04-15,2,0,4,1,1,5,0,1,18,22,62,0,6,9,15,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2405,2011-04-15,2,0,4,2,1,5,0,1,16,20,76,0,8,10,18,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2406,2011-04-15,2,0,4,3,1,5,0,1,16,20,76,0,0,3,3,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2407,2011-04-15,2,0,4,4,1,5,0,1,16,20,82,6,0,3,3,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2408,2011-04-15,2,0,4,5,1,5,0,1,15,18,81,7,2,11,13,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2409,2011-04-15,2,0,4,6,1,5,0,1,15,18,81,6,5,42,47,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2410,2011-04-15,2,0,4,7,1,5,0,1,16,20,71,11,10,139,149,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2411,2011-04-15,2,0,4,8,1,5,0,1,18,22,62,20,21,279,300,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2412,2011-04-15,2,0,4,9,1,5,0,1,20,24,55,13,16,162,178,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2413,2011-04-15,2,0,4,10,1,5,0,1,20,24,55,13,31,91,122,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2414,2011-04-15,2,0,4,11,1,5,0,1,21,25,55,13,41,95,136,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2415,2011-04-15,2,0,4,12,1,5,0,1,21,25,55,19,45,155,200,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2416,2011-04-15,2,0,4,13,1,5,0,1,22,26,52,17,47,133,180,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2417,2011-04-15,2,0,4,14,1,5,0,1,22,26,52,17,57,106,163,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2418,2011-04-15,2,0,4,15,1,5,0,1,22,26,52,30,50,112,162,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2419,2011-04-15,2,0,4,16,1,5,0,1,21,25,55,33,70,173,243,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2420,2011-04-15,2,0,4,17,1,5,0,2,20,24,63,26,64,267,331,Summer,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2421,2011-04-15,2,0,4,18,1,5,0,2,19,23,67,26,47,216,263,Summer,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2422,2011-04-15,2,0,4,19,1,5,0,1,17,21,77,26,41,168,209,Summer,Friday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2423,2011-04-15,2,0,4,20,1,5,0,2,16,20,76,22,26,92,118,Summer,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2424,2011-04-15,2,0,4,21,1,5,0,2,16,20,76,20,25,77,102,Summer,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2425,2011-04-15,2,0,4,22,1,5,0,2,16,20,82,26,16,64,80,Summer,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2426,2011-04-15,2,0,4,23,1,5,0,2,15,17,81,13,8,56,64,Summer,Friday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2427,2011-04-16,2,0,4,0,0,6,0,2,15,17,81,15,7,36,43,Summer,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2428,2011-04-16,2,0,4,1,0,6,0,2,15,17,87,19,5,28,33,Summer,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2429,2011-04-16,2,0,4,2,0,6,0,2,15,17,87,9,5,19,24,Summer,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2430,2011-04-16,2,0,4,3,0,6,0,2,15,17,87,11,5,9,14,Summer,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2431,2011-04-16,2,0,4,4,0,6,0,2,15,17,87,15,1,4,5,Summer,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2432,2011-04-16,2,0,4,5,0,6,0,2,16,20,87,19,1,3,4,Summer,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2433,2011-04-16,2,0,4,6,0,6,0,3,16,20,82,22,1,9,10,Summer,Saturday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
2434,2011-04-16,2,0,4,7,0,6,0,2,16,20,82,28,3,18,21,Summer,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2435,2011-04-16,2,0,4,8,0,6,0,3,16,20,87,24,7,38,45,Summer,Saturday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
2436,2011-04-16,2,0,4,9,0,6,0,3,16,20,100,20,2,27,29,Summer,Saturday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
2437,2011-04-16,2,0,4,10,0,6,0,3,17,21,94,26,1,21,22,Summer,Saturday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
2438,2011-04-16,2,0,4,11,0,6,0,3,17,21,94,30,4,27,31,Summer,Saturday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
2439,2011-04-16,2,0,4,12,0,6,0,2,19,23,88,39,6,26,32,Summer,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2440,2011-04-16,2,0,4,13,0,6,0,3,19,23,94,35,9,49,58,Summer,Saturday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
2441,2011-04-16,2,0,4,14,0,6,0,3,21,25,83,39,14,49,63,Summer,Saturday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
2442,2011-04-16,2,0,4,15,0,6,0,3,21,25,83,39,16,62,78,Summer,Saturday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
2443,2011-04-16,2,0,4,16,0,6,0,3,20,24,88,31,6,27,33,Summer,Saturday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
2444,2011-04-16,2,0,4,17,0,6,0,3,20,24,88,39,1,14,15,Summer,Saturday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
2445,2011-04-16,2,0,4,18,0,6,0,2,20,24,94,26,6,32,38,Summer,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2446,2011-04-16,2,0,4,19,0,6,0,2,21,25,94,28,9,62,71,Summer,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2447,2011-04-16,2,0,4,20,0,6,0,3,18,22,94,15,4,49,53,Summer,Saturday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
2448,2011-04-16,2,0,4,21,0,6,0,2,18,22,94,0,1,13,14,Summer,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2449,2011-04-16,2,0,4,22,0,6,0,3,17,21,100,0,2,22,24,Summer,Saturday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
2450,2011-04-16,2,0,4,23,0,6,0,2,18,22,77,19,5,30,35,Summer,Saturday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2451,2011-04-17,2,0,4,0,0,0,0,2,18,22,77,19,4,29,33,Summer,Sunday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2452,2011-04-17,2,0,4,1,0,0,0,1,17,21,67,15,6,25,31,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2453,2011-04-17,2,0,4,2,0,0,0,1,16,20,62,13,4,25,29,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2454,2011-04-17,2,0,4,3,0,0,0,1,16,20,66,9,12,13,25,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2455,2011-04-17,2,0,4,4,0,0,0,1,15,18,76,7,2,5,7,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2456,2011-04-17,2,0,4,5,0,0,0,1,15,17,71,11,2,1,3,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2457,2011-04-17,2,0,4,6,0,0,0,1,15,16,66,30,3,5,8,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2458,2011-04-17,2,0,4,7,0,0,0,1,15,17,50,24,2,14,16,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2459,2011-04-17,2,0,4,8,0,0,0,1,16,20,46,26,7,36,43,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2460,2011-04-17,2,0,4,9,0,0,0,1,16,20,43,19,31,71,102,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2461,2011-04-17,2,0,4,10,0,0,0,1,17,21,44,30,91,120,211,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2462,2011-04-17,2,0,4,11,0,0,0,1,19,23,41,28,119,185,304,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2463,2011-04-17,2,0,4,12,0,0,0,1,19,23,38,26,167,187,354,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2464,2011-04-17,2,0,4,13,0,0,0,1,20,24,34,26,181,162,343,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2465,2011-04-17,2,0,4,14,0,0,0,1,21,25,34,26,170,191,361,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2466,2011-04-17,2,0,4,15,0,0,0,1,22,26,32,35,179,209,388,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2467,2011-04-17,2,0,4,16,0,0,0,1,22,26,30,24,161,182,343,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2468,2011-04-17,2,0,4,17,0,0,0,1,23,27,30,30,143,163,306,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2469,2011-04-17,2,0,4,18,0,0,0,1,23,27,30,26,102,175,277,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2470,2011-04-17,2,0,4,19,0,0,0,1,23,27,30,20,75,135,210,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2471,2011-04-17,2,0,4,20,0,0,0,1,21,25,36,13,44,97,141,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2472,2011-04-17,2,0,4,21,0,0,0,1,20,24,42,13,13,70,83,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2473,2011-04-17,2,0,4,22,0,0,0,1,20,24,39,7,21,49,70,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2474,2011-04-17,2,0,4,23,0,0,0,1,18,22,67,11,19,37,56,Summer,Sunday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2475,2011-04-18,2,0,4,0,0,1,1,1,19,23,47,6,15,24,39,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2476,2011-04-18,2,0,4,1,0,1,1,1,19,23,47,9,11,8,19,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2477,2011-04-18,2,0,4,2,0,1,1,1,17,21,67,7,14,2,16,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2478,2011-04-18,2,0,4,3,0,1,1,1,17,21,62,7,6,1,7,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2479,2011-04-18,2,0,4,4,0,1,1,1,16,20,87,11,2,4,6,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2480,2011-04-18,2,0,4,5,0,1,1,1,16,20,76,6,0,16,16,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2481,2011-04-18,2,0,4,6,0,1,1,1,16,20,82,0,3,51,54,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2482,2011-04-18,2,0,4,7,0,1,1,1,19,23,63,0,12,156,168,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2483,2011-04-18,2,0,4,8,0,1,1,1,19,23,63,0,20,277,297,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2484,2011-04-18,2,0,4,9,0,1,1,2,20,24,55,7,37,132,169,Summer,Monday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2485,2011-04-18,2,0,4,10,0,1,1,2,21,25,55,7,41,68,109,Summer,Monday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2486,2011-04-18,2,0,4,11,0,1,1,2,22,26,52,6,36,87,123,Summer,Monday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2487,2011-04-18,2,0,4,12,0,1,1,2,23,27,49,6,60,124,184,Summer,Monday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2488,2011-04-18,2,0,4,13,0,1,1,2,23,27,49,11,41,128,169,Summer,Monday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2489,2011-04-18,2,0,4,14,0,1,1,2,24,27,49,13,49,95,144,Summer,Monday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2490,2011-04-18,2,0,4,15,0,1,1,2,25,31,43,13,64,112,176,Summer,Monday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2491,2011-04-18,2,0,4,16,0,1,1,1,25,31,46,19,40,165,205,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2492,2011-04-18,2,0,4,17,0,1,1,1,24,27,49,19,66,362,428,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2493,2011-04-18,2,0,4,18,0,1,1,1,26,31,31,24,41,321,362,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2494,2011-04-18,2,0,4,19,0,1,1,1,23,27,46,17,42,244,286,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2495,2011-04-18,2,0,4,20,0,1,1,1,25,31,33,20,29,136,165,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2496,2011-04-18,2,0,4,21,0,1,1,1,23,27,37,19,20,131,151,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2497,2011-04-18,2,0,4,22,0,1,1,1,21,25,55,19,9,81,90,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2498,2011-04-18,2,0,4,23,0,1,1,1,20,24,59,17,11,35,46,Summer,Monday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2499,2011-04-19,2,0,4,0,0,2,1,1,20,24,55,15,2,23,25,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2500,2011-04-19,2,0,4,1,0,2,1,1,19,23,63,15,5,2,7,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2501,2011-04-19,2,0,4,2,0,2,1,1,19,23,67,19,8,5,13,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2502,2011-04-19,2,0,4,3,0,2,1,1,20,23,63,15,0,3,3,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2503,2011-04-19,2,0,4,4,0,2,1,1,19,23,67,6,1,4,5,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2504,2011-04-19,2,0,4,5,0,2,1,2,19,23,72,13,1,17,18,Summer,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2505,2011-04-19,2,0,4,6,0,2,1,2,20,23,67,0,2,63,65,Summer,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2506,2011-04-19,2,0,4,7,0,2,1,2,21,25,55,0,22,166,188,Summer,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2507,2011-04-19,2,0,4,8,0,2,1,2,20,24,68,9,20,331,351,Summer,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2508,2011-04-19,2,0,4,9,0,2,1,3,21,25,63,6,23,139,162,Summer,Tuesday,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds"
2509,2011-04-19,2,0,4,10,0,2,1,2,20,24,72,15,15,60,75,Summer,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2510,2011-04-19,2,0,4,11,0,2,1,2,22,26,68,11,19,53,72,Summer,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2511,2011-04-19,2,0,4,12,0,2,1,2,22,26,64,6,19,84,103,Summer,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2512,2011-04-19,2,0,4,13,0,2,1,2,22,26,68,15,26,103,129,Summer,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2513,2011-04-19,2,0,4,14,0,2,1,2,22,26,64,13,19,88,107,Summer,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2514,2011-04-19,2,0,4,15,0,2,1,2,22,26,65,11,44,83,127,Summer,Tuesday,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist"
2515,2011-04-19,2,0,4,16,0,2,1,1,23,27,52,20,30,162,192,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
2516,2011-04-19,2,0,4,17,0,2,1,1,23,27,60,7,39,372,411,Summer,Tuesday,"Clear, Few clouds, Partly cloudy, Partly cloudy"
